S.No,Product Name,Material,Size,Colour
1,Heritage Sword,Wood,Large,Brown
2,Dragon Sword,Metal,Large,White
3,Royal Sword,Metal,Large,White
4,Velvet Sword,Velvet,Large,Black
5,Bridal Sword,Fabric,Large,Red
6,Scarlet Sword,Fabric,Large,Red
7,Teal Turban Pin,Metal,Free,Teal
8,Chrome Sword,Metal,Large,Black
9,Golden Sword,Metal,Large,White
10,Filigree Sword,Velvet,Large,Black
11,Swan Sword,Metal,Large,White
12,Teak Sword,Metal,Large,Brown
13,Silver Dragon Sword,Metal,Large,Silver
14,Zari Sword,Fabric,Large,Red
15,Steel Sword,Metal,Large,Black
16,Ruby Turban Pin,Metal,Free,Ruby
17,Brass Sword,Metal,Large,Brown
18,Ruby Turban Pin II,Metal,Free,Ruby
19,Rosewood Sword,Metal,Large,Brown
20,Classic Sword,Metal,Large,Brown
21,Lal Sword,Fabric,Large,Red
22,Ivory Sword,Metal,Large,White
23,Dual Dragon Sword,Metal,Large,Silver
24,Shadow Sword,Velvet,Large,Black
25,Guard Sword,Metal,Large,Black
26,Sandal Sword,Metal,Large,Brown
27,Maroon Sword,Velvet,Large,Maroon
